sheet,row,word,expected,predicted
偏正,96,债务,偏正,联合
联合,74,睡觉,联合,动宾
主谓,1,冰冻,主谓,错误
主谓,11,法定,主谓,偏正
主谓,14,肩负,主谓,偏正
主谓,33,情愿,主谓,联合
主谓,95,自卫,主谓,动宾
主谓,98,祖传,主谓,偏正
补充v,2,变通,补充v,联合
补充v,12,处死,补充v,动宾
补充v,28,革新,补充v,联合
补充v,33,揭露,补充v,联合
补充v,34,揭晓,补充v,动宾
补充v,70,摇动,补充v,联合
补充v,72,证明,补充v,联合
补充v,73,指正,补充v,联合
补充v,88,买断,补充v,动宾
补充v,90,看齐,补充v,动宾
补充n,1,案件,补充n,联合
补充n,2,班次,补充n,偏正
补充n,4,车次,补充n,偏正
补充n,6,船次,补充n,偏正
补充n,8,豆粒,补充n,偏正
补充n,9,房间,补充n,偏正
补充n,10,蜂群,补充n,偏正
补充n,11,钢锭,补充n,偏正
补充n,12,稿件,补充n,偏正
补充n,13,狗只,补充n,偏正
补充n,14,谷粒,补充n,偏正
补充n,15,航次,补充n,偏正
补充n,16,花朵,补充n,偏正
补充n,17,花束,补充n,偏正
补充n,18,鸡只,补充n,联合
补充n,19,金锭,补充n,偏正
补充n,20,款项,补充n,联合
补充n,21,楼栋,补充n,偏正
补充n,23,马群,补充n,偏正
补充n,24,猫只,补充n,偏正
补充n,25,米粒,补充n,偏正
补充n,26,鸟群,补充n,偏正
补充n,27,牛群,补充n,偏正
补充n,28,枪支,补充n,联合
补充n,29,犬只,补充n,联合
补充n,30,人口,补充n,偏正
补充n,31,人群,补充n,偏正
补充n,32,沙粒,补充n,偏正
补充n,33,牲口,补充n,偏正
补充n,34,狮群,补充n,偏正
补充n,35,事件,补充n,偏正
补充n,37,树株,补充n,联合
补充n,38,税项,补充n,偏正
补充n,39,田亩,补充n,联合
补充n,40,物件,补充n,联合
补充n,41,鸭只,补充n,偏正
补充n,42,羊群,补充n,偏正
补充n,43,蚁群,补充n,偏正
补充n,44,银锭,补充n,偏正
补充n,45,银两,补充n,联合
补充n,46,鱼群,补充n,偏正
补充n,48,猪只,补充n,联合
动宾,56,考试,动宾,联合
前缀,23,第一,前缀,偏正
前缀,31,第九,前缀,偏正
前缀,33,老板,前缀,偏正
前缀,38,老公,前缀,偏正
前缀,42,老大,前缀,偏正
前缀,53,老婆,前缀,偏正
前缀,60,老鹰,前缀,偏正
前缀,61,老总,前缀,偏正
后缀,1,矮子,后缀,补充
后缀,3,靶子,后缀,偏正
后缀,15,鼻子,后缀,偏正
后缀,16,鞭子,后缀,偏正
后缀,21,铲子,后缀,补充
后缀,22,车子,后缀,偏正
后缀,26,虫子,后缀,偏正
后缀,28,村子,后缀,偏正
后缀,30,袋子,后缀,补充
后缀,38,疯子,后缀,补充
后缀,43,盒子,后缀,补充
后缀,45,剪子,后缀,联合
后缀,47,筷子,后缀,补充
后缀,48,栗子,后缀,偏正
后缀,54,茄子,后缀,偏正
后缀,57,兔子,后缀,补充
后缀,59,蚊子,后缀,补充
后缀,65,范儿,后缀,偏正
后缀,67,今儿,后缀,偏正
后缀,68,块儿,后缀,偏正
后缀,73,鸟儿,后缀,补充
后缀,74,这儿,后缀,偏正
后缀,86,后头,后缀,动宾
后缀,89,苦头,后缀,偏正
后缀,90,来头,后缀,偏正
后缀,91,榔头,后缀,连绵词
后缀,94,上头,后缀,偏正
后缀,95,石头,后缀,偏正
后缀,99,丫头,后缀,偏正
音译外来词,27,袈裟,音译外来词,连绵词
音译外来词,40,浪漫,音译外来词,连绵词
音译外来词,44,淋巴,音译外来词,连绵词
音译外来词,63,柠檬,音译外来词,连绵词
音译外来词,69,菩萨,音译外来词,连绵词
音译外来词,70,葡萄,音译外来词,连绵词
音译外来词,77,刹那,音译外来词,连绵词
叠音,27,沾沾,叠音,重叠
重叠,12,匆匆,重叠,叠音
重叠,43,嬷嬷,重叠,叠音
重叠,52,悄悄,重叠,叠音
重叠,53,区区,重叠,叠音
连绵词,91,妖艳,连绵词,联合
